constituency_id,ps_id,ps_name
NA1,21,Govt Middle School (GMS)
NA1,21,Jinjirate Koh
NA1,34,Regional Institute for Teachers
NA1,34,Training (RITT) Drosh
NA1,58,Govt Girls Community Modle
NA1,58,School (GGCMS) Sahan Payeen
NA107,102,"GOVT. REFORMER GIRLS HIGH SCHOOL, CHAK NO. 220/RB JUDGE WALA (FEMALE)(P)"
NA107,102,"GOVT. REFORMER GIRLS HIGH SCHOOL, CHAK NO. 220/RB JUDGE WALA / FEMALE (P)"
NA12,232,GovernmentPrimary School
NA12,232,Toba Pashto
NA124,72,"BHAIAN , MORI GATE, LAHORE (FEMALE)"
NA124,72,"VICTORIA HIGHER SECONDARY GIRLS SCHOOL, MADAN"
NA124,211,"GOVT. MUNAWAR MIDDLE SCHOOL WASSAN PURA, LAHORE"
NA124,211,PERMANENT (FEMALE)
NA126,109,GOVT. ISLAMIA HIGH SCHOOL NEAR YATEEM KHANA
NA126,109,"GOVT. ISLAMIA HIGH SCHOOL NEAR YATEEM KHANA, LAHORE (PERMANENT)"
NA126,319,"LDA GIRLS HIGH SCHOO, JAHANZEB BLOCK, ALLAMA IQBAL TOWN, LAHORE"
NA126,319,"LDA GIRLS HIGH SCHOOL, JAHANZEB BLOCK, ALLAMA IQBAL TOWN, LAHORE"
NA127,2,PAKISTAN RAILWAY AXIS COLLEGE OF ART & SCIENCE G.T ROAD LAHORE
NA127,2,PAKISTAN RAILWAY AXIS COLLEGE OF ART & SCIENCE GT ROAD LAHORE
NA130,344,BELSSING FIELD SCHOOL GIRLS BRANCH LINK ROAD BHATTI COLONY (FEAMLE)
NA130,344,BLESSING FIELD SCHOOL GIRLS BRANCH LINK ROAD BHATTI COLONY (FEAMLE)
NA132,119,GOVT GIRLS MIDDLE SCHOOL KHANOHARNI LAHORE()PERMANENT (CORRECTION IN THE
NA132,119,GOVT GIRLS MIDDLE SCHOOL KHANOHARNI LAHORE()PERMANENT (CORRECTION IN THE NAME OF PREVIOUS POLLING STATION I.E GOVT BOYS PRIMARY SCHOOL KHANOKHARNI LAHORE PERMANENT)
NA132,163,"GOVT BOYS PRIMARY SCHOOL,CHHAPA ()(CORRECTION IN THE NAME OF PREVIOUS POLLING STATION I.E GOVT BOYS SCHOO,CHHAPA)"
NA132,163,"GOVT BOYS PRIMARY SCHOOL,CHHAPA ()(CORRECTION IN THE NAME OF PREVIOUS POLLING STATION I.E GOVT BOYS SCHOOL,CHHAPA)"
NA132,237,"TIPU SULTAN MODEL HIGH SCHOOL,KASHIF COLONY"
NA132,237,"TIPU SULTAN MODEL HIGH SCHOOL,KASHIF COLONY BAIDIAN ROAD LAHORE CANTT"
NA133,41,"CDGL BOYS HIGH SCHOOL 15-B/1 TOWNSHIP, LAHORE (COMBINED)"
NA133,41,"CDGL BOYS HIGH SCHOOL 15-B/1 TOWNSHIP, LAHORE (MALE)"
NA136,174,"GOVERNMENT HIGH SCHOOL, CHUNG LAHORE (PERMANENT) (MALE)"
NA136,174,GOVT. GIRLS HIGH SCHOOL BABLIANA OTAR (MALE)
NA14,24,Combined
NA14,24,Government Girls Primary School No.2 Judbah
NA18,180,Govt Girls Higher
NA18,180,Secondary School Gulshan Abad Maneri Payan [F]  3rd PS (P)*
NA18,209,Govt:Girls Primary School Gar Shagai
NA18,209,M.Bala (F) (P)*
NA18,243,Govt Primary School No.1 Bam khel (F) 1st
NA18,243,PS (P)*
NA193,50,GOVT DEGREE COLLEGE FOR WOMEN JAMPUR
NA193,50,GOVT DEGREE COLLEGE FOR WOMEN JAMPURA
NA214,3,GOVT BOYC PRIMARY SCHOOL NEW URDU SYED SHABIR AHMED SHAH (MALE)
NA214,3,GOVT BOYS PRIMARY SCHOOL NEW URDU SYED SHABIR AHMED SHAH (MALE)
NA221,47,GPS KATHO AYOOB
NA221,47,GPS KATHO AYOUB
NA257,37,GOVT PRIMARY SCHOOL TAUDA SAFARZAI
NA257,37,GOVT PRIMARY SCHOOL TAUDA SAFARZI
NA260,29,"CIVIL DISPENSARY, MIR HASSAN (FEMALE)"
NA260,29,"CIVIL DISPENSARY, MIR HASSAN (MALE)"
NA262,47,BOYS MIDDLE SCHOOL VIALA  (COMB)
NA262,47,BOYS MIDDLE SCHOOL VIALA (COMB)
NA262,74,BOYS MIDDLE SCHOOL BAHARAM KHAN (COMB)
NA262,74,BOYS MIDDLE SCHOOL BAHRAM KHAN (COMB)
NA262,109,TEHSIL COUNCIL OFFICE  PISHIN (MALE)
NA262,109,TEHSIL COUNCIL OFFICE PISHIN (MALE)
NA262,136,GIRLS PRIMARY SCHOOL TOR GHUNDI (FEMALE)
NA262,136,"GIRLS PRIMARY SCHOOL, TOR GHUNDI (FEMALE)"
